claim_id,reference_claim,ai_lecturenote_output,label,error_type,why_it_matters
ant_sr71,"왜냐면은 이게 기본적으로 이 진단 자체가 조금 늦어지기 때문에 사망률이 높고, 만약에 이런 이 toxic effect가 있으면은 이 toxic effect 자체보다도 이 sepsis라던가 shock사로 인한 사망이 훨씬 많습니다.","처음 증상은 abdominal pain 이라던가 nausea, vomiting 이런 것들이 있고, 진행을 할수록 이제 심한 설사라던가 또는 이제 혈변 이런 것도 이제 놓을 수가 있겠습니다. … 대표적으로 뭐 목에 부종이 생긴다라거나 아니면은 목이 따갑거나 이런 것도 있을 수가 있겠구요. … Anthrax 진단이 늦어지면 사망률이 높아지고, Anthrax 자체보다도 합병증으로 인한 사망이 더 많을 수 있습니다. blood culture, PCR 테스트, immunohistochemistry, 전자 현미경을 사용하여 진단을 할 수 있습니다. -> ""Anthrax 진단이 늦어지면 사망률이 높아지고, Anthrax 자체보다도 합병증으로 인한 사망이 더 많을 수 있습니다. """,Omission ,sepsis 및 shock에 대한 구체적인 설명이 누락되었습니다.,
ant_sr72,그래서 Anthrax 자체의 toxic보다도 이런 것들 그러니까 조금 복합병으로 인한 이런 것들이 훨씬 더 사망률이 높다라고 이야기를 할 수 있겠습니다.,"처음 증상은 abdominal pain 이라던가 nausea, vomiting 이런 것들이 있고, 진행을 할수록 이제 심한 설사라던가 또는 이제 혈변 이런 것도 이제 놓을 수가 있겠습니다. … 대표적으로 뭐 목에 부종이 생긴다라거나 아니면은 목이 따갑거나 이런 것도 있을 수가 있겠구요. … Anthrax 진단이 늦어지면 사망률이 높아지고, Anthrax 자체보다도 합병증으로 인한 사망이 더 많을 수 있습니다.",Faithful ,,
ant_sr73,"그래서 진단을 우리가 어떻게 하는가 라고 했을 때, 저희가 가장 대표적인 것은 Blood Agar에 Culturing 하는 겁니다.","blood culture, PCR 테스트, immunohistochemistry, 전자 현미경을 사용하여 진단을 할 수 있습니다.",Minor rewrite,"해당 문장의 내용은 정확하나, 진단 과정으로 넘어간다는 흐름(transition)에 대한 설명이 누락되어 가독성이 저하될 우려가 있습니다.",
ant_sr74,PCR testing도 당연히 할 수 있겠구요.,이제 GI tract 쪽이기 때문에 이제 oropharyngeal diseases도 역시 일어날 수 있겠구요. 대표적으로 뭐 목에 부종이 생긴다라거나 아니면은 목이 따갑거나 이런 것도 있을 수가 있겠구요.,Faithful ,,
ant_sr75,또는 Immunohistochemistry도 가능하구요.,"blood culture, PCR 테스트, immunohistochemistry, 전자 현미경을 사용하여 진단을 할 수 있습니다. 치료는 항생제를 사용하며, penicillin 또는 doxycycline을 사용할 수 있습니다.",Faithful ,,
ant_sr76,또는 이제 비용이 나가긴 하지만은 Electron Microscopy로 또 관찰할 수 있겠습니다.,"처음 증상은 abdominal pain 이라던가 nausea, vomiting 이런 것들이 있고, 진행을 할수록 이제 심한 설사라던가 또는 이제 혈변 이런 것도 이제 놓을 수가 있겠습니다.",Faithful ,,
ant_sr77,치료법은 저희가 항생제를 쓰는 거고요.,"치료는 항생제를 사용하며, penicillin 또는 doxycycline을 사용할 수 있습니다.",Faithful ,,
ant_sr78,penicillin이라던가 doxycycline 이런 거를 쓰는 겁니다.,"치료는 항생제를 사용하며, penicillin 또는 doxycycline을 사용할 수 있습니다.",Faithful ,,
ant_sr79,그리고 추가적으로 항생제를 이제 같이 이제 이용할 수 있는 supportive care도 필요하고요.,"치료는 항생제를 사용하며, penicillin 또는 doxycycline을 사용할 수 있습니다.",Omission ,supportive care에 대한 내용이 완전히 누락되었습니다.,
ant_sr80,그 외에도 이제 이 탄저균 자체가 독성이 있기 때문에 이런 조금 증상이 심할 경우에는 독성을 없애는 antitoxin therapy를 사용하게 됩니다.,중증 증상의 경우 독성을 제거하기 위해 antitoxin을 사용할 수 있습니다.,Faithful ,,
ant_sr81,탄저균을 예방할 수 있는 방법은 Vaccination이 가장 대표적이고요.,"예방을 위해 백신 접종이 중요하며, 공기 중 스포어 전파를 막기 위해 살균 및 소독이 필요합니다.",Faithful ,,
ant_sr82,또는 이제 이 spore가 공기 중에 떠돌아다니는 걸 막기 위해서 sterilization 또는 decontamination 이용하시면 되겠습니다.,"치료는 항생제를 사용하며, penicillin 또는 doxycycline을 사용할 수 있습니다. … 예방을 위해 백신 접종이 중요하며, 공기 중 스포어 전파를 막기 위해 살균 및 소독이 필요합니다.",Faithful ,,
ant_sr83,그리고 Occupational Safety Measures.,"(anchor not found - likely omitted/paraphrased; check manually) -> "" 작업 환경에서 안전 조치를 철저히 지켜야 합니다.""",Faithful ,,
ant_sr84,그래서 여러가지 작업 환경에서 이런 이 안전규칙을 잘 지켜야 된다는 게 또 중요한 역시 중요한 부분이 되겠습니다.,작업 환경에서 안전 조치를 철저히 지켜야 합니다.,Faithful ,,
ant_sr85,그리고 만약에 노출이 되었다 그러면 이제 Post-exposure prophylaxis가 되면은 이제 antibiotics를 60일 동안 복용을 해야 된다라는 게 알려져 있고요.,"그리고 만약에 노출되었다면, post-exposure prophylaxis access가 필요하며 antibiotics를 60일 동안 복용해야 한다는 것이 알려져 있습니다.",Faithful ,,
ant_sr86,Public Health Response 에서는 저희가 이게 꾸준히 이제 제보가 되고 있고 그리고 그 제보가 되는 쪽에서 이제 exposure source가 항상 조사가 되고 있습니다.,"그리고 만약에 노출되었다면, post-exposure prophylaxis access가 필요하며 antibiotics를 60일 동안 복용해야 한다는 것이 알려져 있습니다. Public Health Response에서는 계속해서 제보를 받고 있으며, 노출 소스를 조사하고 있습니다. 따라서 목격된 경우에는 항상 추적 및 관찰을 진행하고 있습니다. … 이러한 이유로 공공의료 관점에서도 이 균에 대한 관심이 계속되고 있습니다.",Faithful ,,
ant_sr87,그래서 이제 얘가 이제 만약에 목격이 되었다 라고 하면은 저희가 항상 계속 컨택트해서 얘가 어디서부터 추적이 되었는다라는 거를 이제 항상 관찰하고 있으니까 이제 public 공공의료 관점에서도 이제 항상 관심이 집중이 되고 있는 균 중 하나다 라고 말씀을 드릴 수가 있겠습니다.,"그리고 만약에 노출되었다면, post-exposure prophylaxis access가 필요하며 antibiotics를 60일 동안 복용해야 한다는 것이 알려져 있습니다. Public Health Response에서는 계속해서 제보를 받고 있으며, 노출 소스를 조사하고 있습니다. 따라서 목격된 경우에는 항상 추적 및 관찰을 진행하고 있습니다. 이러한 이유로 공공의료 관점에서도 이 균에 대한 관심이 계속되고 있습니다. … 이러한 이유로 공공의료 관점에서도 이 균에 대한 관심이 계속되고 있습니다.",Faithful ,,
ant_sr88,그래서 이렇게 해서 저희가 탄저균에 대해서 다뤄보았고요.,"Public Health Response에서는 계속해서 제보를 받고 있으며, 노출 소스를 조사하고 있습니다.",Faithful ,,
ant_sr89,"탄저균의 대표적인 plasmid pXO1, pXO2 그리고 pXO1이 이제 분비하는 toxin 3개, PA, EF 또 LF 이렇게 3개에 대해서 다뤄봤고 그리고 그 외에도 탄저균의 종류 이제 Cutaneous Anthrax, Inhalation Anthrax 그리고 Gastrointestinal Anthrax 각각의 증상들 그리고 이제 typical한 병인 증상, 병인들 이런 것들 그리고 치료법 나아가서 예방법까지 같이 이야기를 나눠봤습니다.","탄조균에 대해 다뤄보았는데, 대표적인 plasmid pXO1, pXO2 및 pXO1이 분비하는 toxin 3개, PA, EF 또는 LF에 대해 이야기했고, 그 외에도 탄조균의 종류와 각각의 증상, 병인, 치료법 및 예방법에 대해 논의했습니다.",Faithful ,,
ant_sr90,이렇게 여기까지 해서 이제 탄저균에 대한 강의를 마치도록 하고 이제 녹음을 종료하도록 하겠습니다.,이렇게 탄조균에 대한 강의를 마치고 녹음을 종료하겠습니다.,Substitution,탄저균을 탄조균으로 오기하였습니다.,
